TYPE,DEVICE NICKNAME,TIME,TIMESUM (TOTAL SECONDS SINCE MIDNIGHT)
ANDROID,epi,16-26-08,59168
ANDROID,epi,16-26-13,59173
ANDROID,ConnorAndroid,16-26-29,59189
ANDROID,ConnorAndroid,16-27-03,59223
ANDROID,ConnorAndroid,16-27-16,59236
ANDROID,ConnorAndroid,16-27-58,59278
ANDROID,ConnorAndroid,16-28-16,59296
ANDROID,ConnorAndroid,16-29-03,59343
ANDROID,ConnorAndroid,16-29-16,59356
ANDROID,ConnorAndroid,16-30-03,59403
ANDROID,ConnorAndroid,16-30-16,59416
ANDROID,ConnorAndroid,16-31-03,59463
ANDROID,ConnorAndroid,16-31-16,59476
ANDROID,ConnorAndroid,16-32-03,59523
ANDROID,ConnorAndroid,16-32-17,59537
ANDROID,ConnorAndroid,16-32-46,59566
ANDROID,ConnorAndroid,16-33-33,59613
ANDROID,ConnorAndroid,16-34-03,59643
ANDROID,ConnorAndroid,16-34-16,59656
ANDROID,ConnorAndroid,16-35-03,59703
